SL/NO,State,District,Sub-district,Code Number
1,AN,ANDAMAN & NICOBAR,ANDAMAN ISLANDS,3192
2,AN,ANDAMAN & NICOBAR,NICOBAR ISLANDS,3193
3,AP,ADILABAD,ADILABAD,8732
4,AP,ADILABAD,ASIFABAD,8733
5,AP,ADILABAD,BELLAMPALLI,8735
6,AP,ADILABAD,BHAINSA,8752
7,AP,ADILABAD,BOATH (ECHODA),8751
8,AP,ADILABAD,CHINNOR,8737
9,AP,ADILABAD,JANNARAM (LUXITTIPET),8739
10,AP,ADILABAD,KHANAPUR (AP),8730
11,AP,ADILABAD,MANCHERIAL,8736
12,AP,ADILABAD,NIRMAL,8734
13,AP,ADILABAD,OUTSARANGAPALLE,8753
14,AP,ADILABAD,SIRPURKAGAZNAGAR,8738
15,AP,ADILABAD,UTNOR,8731
16,AP,ANANTPUR (GUNTAKAL),ANANTAPUR,8554
17,AP,ANANTPUR (GUNTAKAL),DHARMAVARAM,8559
18,AP,ANANTPUR GUNTAKAL),GARLADINNE,8551
19,AP,ANANTPUR (GUNTAKAL),GOOTY (GUNTAKAL),8552
20,AP,ANANTPUR (GUNTAKAL),HINDUPUR,8556
21,AP,ANANTPUR (GUNTAKAL),KADIRI,8494
22,AP,ANANTPUR (GUNTAKAL),KALYANDURG,8497
23,AP,ANANTPUR (GUNTAKAL),KAMBADUR,8492
24,AP,ANANTPUR (GUNTAKAL),KANAGANAPALLE,8491
25,AP,ANANTPUR (GUNTAKAL),MADAKASIRA,8493
26,AP,ANANTPUR (GUNTAKAL),(TANAKALLU),8498
27,AP,ANANTPUR (GUNTAKAL),PENUKONDA,8557
28,AP,ANANTPUR (GUNTAKAL),RAYADURG,8495
29,AP,ANANTPUR (GUNTAKAL),TADIPATRI,8558
30,AP,ANANTPUR (GUNTAKAL),URAVAKONDA,8496
31,AP,ANANTPUR (GUNTAKAL),YELLANURU,8550
32,AP,CHITTOOR,B.KOTHAKOTA,8582
33,AP,CHITTOOR,BANGARUPALEM,8573
34,AP,CHITTOOR,CHITTOOR,8572
35,AP,CHITTOOR,KUPPAM,8570
36,AP,CHITTOOR,MADANAPALLI,8571
37,AP,CHITTOOR,PAKALA,8585
38,AP,CHITTOOR,PALMANERU,8579
39,AP,CHITTOOR,PILER,8584
40,AP,CHITTOOR,PUNGANUR,8581
41,AP,CHITTOOR,PUTTURU,8577
42,AP,CHITTOOR,SATYAVEDU,8576
43,AP,CHITTOOR,SODAM,8583
44,AP,CHITTOOR,SRIKALAHASTHI,8578
45,AP,CHITTOOR,TIRUPATHI,877
46,AP,CHITTOOR,VAYALPAD,8586
47,AP,CHITTOOR,VENKATGIRIKOTA,8587
48,AP,CUDDAPAH,BADVEL,8569
49,AP,CUDDAPAH,CUDDAPAH,8562
50,AP,CUDDAPAH,JAMMALAMADUGU,8560
51,AP,CUDDAPAH,(YERRAGUNTALA),8563
52,AP,CUDDAPAH,KODURU,8566
53,AP,CUDDAPAH,LAKKIREDDIPALLI,8567
54,AP,CUDDAPAH,PRODDATUR,8564
55,AP,CUDDAPAH,PULIVENDLA,8568
56,AP,CUDDAPAH,RAJAMPETA,8565
57,AP,CUDDAPAH,RAYACHOTI,8561
58,AP,CUDDAPAH,SIDDAVATTAM,8589
59,AP,CUDDAPAH,VAIMPALLI,8588
60,AP,ELURU,BHIMADOLE,8829
61,AP,ELURU,BHIMAVARAM,8816
62,AP,ELURU,CHINTALAPUDI,8823
63,AP,ELURU,ELURU,8812
64,AP,ELURU,JANGAREDDYGUDEM,8821
65,AP,ELURU,KOVVUR (NIDADAVOLU),8813
66,AP,ELURU,NARSAPUR (PALAKOLE),8814
67,AP,ELURU,POLAVARAM,8811
68,AP,ELURU,TADEPALLIGUDEM,8818
69,AP,ELURU,TANUKU,8819
70,AP,GUNTUR,BAPATLA,8643
71,AP,GUNTUR,GUNTUR,863
72,AP,GUNTUR,KROSURU,8640
73,AP,GUNTUR,MANGALAGIRI,8645
74,AP,GUNTUR,NARSARAOPET,8647
75,AP,GUNTUR,PALNAD (MACHERALA),8642
76,AP,GUNTUR,PIDUGURALLA,8649
77,AP,GUNTUR,REPALLE,8648
78,AP,GUNTUR,SATTENAPALLI,8641
79,AP,GUNTUR,TENALI,8644
80,AP,GUNTUR,VINUKONDA,8646
81,AP,HYDERABAD,CHEVELLA,8417
82,AP,HYDERABAD,HYDERABAD LOC,40
83,AP,HYDERABAD,HYDERABADEAST (GHATKESWAR),8415
84,AP,HYDERABAD,HYDERABADWEST (SHAMSHABAD),8413
85,AP,HYDERABAD,IBRAHIMPATNAM,8414
86,AP,HYDERABAD,MEDCHAL,8418
87,AP,HYDERABAD,PARGI,8412
88,AP,HYDERABAD,TANDURU,8411
89,AP,HYDERABAD,VIKRABAD,8416
90,AP,KARIMNAGAR,HUSNABAD,8721
91,AP,KARIMNAGAR,HUZURABAD,8727
92,AP,KARIMNAGAR,JAGTIAL,8724
93,AP,KARIMNAGAR,KARIMNAGAR,878
94,AP,KARIMNAGAR,MAHADEVAPUR,8720
95,AP,KARIMNAGAR,MANTHANI,8729
96,AP,KARIMNAGAR,METPALLI,8725
97,AP,KARIMNAGAR,PEDDAPALLI,8728
98,AP,KARIMNAGAR,SIRCILLA,8723
99,AP,KHAMMAM,ASWARAOPET,8740
100,AP,KHAMMAM,BHADRACHALAM,8743
101,AP,KHAMMAM,BHOORAGAMPHAD (MANUGURU),8746
102,AP,KHAMMAM,KHAMMAM,8742
103,AP,KHAMMAM,KOTHAGUDEM,8744
104,AP,KHAMMAM,MADHIRA,8749
105,AP,KHAMMAM,NUGURU (CHERLA),8747
106,AP,KHAMMAM,SATHUPALLI,8761
107,AP,KHAMMAM,SUDHIMALLA (TEKULAPALLI),8741
108,AP,KHAMMAM,V.R.PURAM,8748
109,AP,KHAMMAM,YELLANDU,8745
110,AP,KURNOOL,ADONI,8512
111,AP,KURNOOL,ALLAGADDA,8519
112,AP,KURNOOL,ALUR,8523
113,AP,KURNOOL,ATMAKUR,8517
114,AP,KURNOOL,BANAGANAPALLE,8515
115,AP,KURNOOL,DRONACHALAM,8516
116,AP,KURNOOL,GUDUR (KODUMUR),8525
117,AP,KURNOOL,KOILKUNTLA,8510
118,AP,KURNOOL,KURNOOL,8518
119,AP,KURNOOL,NANDIKOTKUR,8513
120,AP,KURNOOL,NANDYAL,8514
121,AP,KURNOOL,PATTIKONDA,8520
122,AP,KURNOOL,PEAPALLE,8522
123,AP,KURNOOL,SRISAILAM,8524
124,AP,MAHABUBNAGAR,ACHAMPET,8541
125,AP,MAHABUBNAGAR,ALAMPUR,8502
126,AP,MAHABUBNAGAR,AMANGALLU,8545
127,AP,MAHABUBNAGAR,ATMAKUR,8504
128,AP,MAHABUBNAGAR,GADWAL,8546
129,AP,MAHABUBNAGAR,KALWAKURTHY,8549
130,AP,MAHABUBNAGAR,KODANGAL,8505
